card_id,url_front_preprocessed,url_back_preprocessed
S03568-13-00100-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00100-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00100-00_back_preprocessed.png
S03568-13-00102-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00102-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00102-00_back_preprocessed.png
S03568-13-00103-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00103-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00103-00_back_preprocessed.png
S03568-13-00105-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00105-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00105-00_back_preprocessed.png
S03568-13-00104-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00104-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00104-00_back_preprocessed.png
S03568-13-00106-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00106-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00106-00_back_preprocessed.png
S03568-13-00108-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00108-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00108-00_back_preprocessed.png
S03568-13-00107-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00107-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00107-00_back_preprocessed.png
S03568-13-00112-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00112-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00112-00_back_preprocessed.png
S03568-13-00110-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00110-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00110-00_back_preprocessed.png
S03568-13-00113-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00113-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00113-00_back_preprocessed.png
S03568-13-00114-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00114-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00114-00_back_preprocessed.png
S03568-13-00116-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00116-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00116-00_back_preprocessed.png
S03568-13-00117-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00117-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00117-00_back_preprocessed.png
S03568-13-00118-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00118-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00118-00_back_preprocessed.png
S03568-13-00119-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00119-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00119-00_back_preprocessed.png
S03568-13-00242-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00242-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00242-00_back_preprocessed.png
S03568-13-00240-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00240-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00240-00_back_preprocessed.png
S03568-13-00241-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00241-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00241-00_back_preprocessed.png
S03568-13-00243-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00243-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00243-00_back_preprocessed.png
S03568-13-00244-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00244-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00244-00_back_preprocessed.png
S03568-13-00245-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00245-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00245-00_back_preprocessed.png
S03568-13-00246-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00246-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00246-00_back_preprocessed.png
S03568-13-00247-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00247-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00247-00_back_preprocessed.png
S03568-13-00248-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00248-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00248-00_back_preprocessed.png
S03568-13-00005-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00005-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00005-00_back_preprocessed.png
S03568-13-00008-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00008-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00008-00_back_preprocessed.png
S03568-13-00049-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00049-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00049-00_back_preprocessed.png
S03568-13-00083-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00083-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00083-00_back_preprocessed.png
S03568-13-00046-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00046-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00046-00_back_preprocessed.png
S03568-13-00060-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00060-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00060-00_back_preprocessed.png
S03568-13-00090-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00090-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00090-00_back_preprocessed.png
S03568-13-00017-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00017-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00017-00_back_preprocessed.png
S03568-13-00026-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00026-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00026-00_back_preprocessed.png
S03568-13-00029-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00029-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00029-00_back_preprocessed.png
S03568-13-00065-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00065-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00065-00_back_preprocessed.png
S03568-13-00033-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00033-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00033-00_back_preprocessed.png
S03568-13-00044-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00044-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00044-00_back_preprocessed.png
S03568-13-00059-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00059-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00059-00_back_preprocessed.png
S03568-13-00094-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00094-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00094-00_back_preprocessed.png
S03568-13-00045-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00045-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00045-00_back_preprocessed.png
S03568-13-00109-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00109-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00109-00_back_preprocessed.png
S03568-13-00115-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00115-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00115-00_back_preprocessed.png
S03568-13-00111-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00111-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00111-00_back_preprocessed.png
S03568-13-00249-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00249-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00249-00_back_preprocessed.png
S03568-13-00120-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00120-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00120-00_back_preprocessed.png
